table_name,has_auth_grant,has_svc_grant,has_anon_grant,rls_enabled
adjusted_taxable_gifts,true,true,true,true
advisor_access_log,true,true,true,true
advisor_clients,true,true,true,true
advisor_directory,true,true,true,true
advisor_gap_statuses,true,true,true,true
advisor_notes,true,true,true,true
advisor_projection_assumptions,true,true,true,true
advisor_tier_config,true,true,true,true
advisor_tiers,true,true,true,true
alert_rules,true,true,true,true
annual_financials,true,true,true,true
app_config,true,true,true,true
assessment_results,true,true,true,true
asset_beneficiaries,true,true,true,true
asset_growth_classes,true,true,true,true
asset_titling,true,true,true,true
asset_types,true,true,true,true
assets,true,true,true,true
attorney_clients,true,true,true,true
attorney_listings,true,true,true,true
attorney_referrals,true,true,true,true
attorney_tier_config,true,true,true,true
beneficiary_access_grants,true,true,true,true
beneficiary_conflicts,true,true,true,true
business_entity_types,true,true,true,true
business_interests,true,true,true,true
business_succession_notes,true,true,true,true
business_titling,true,true,true,true
business_valuation_discounts,true,true,true,true
businesses,true,true,true,true
change_log,true,true,true,true
charitable_deduction_limits,true,true,true,true
charitable_donations,true,true,true,true
charitable_vehicle_types,true,true,true,true
connection_requests,true,true,true,true
deletion_audit_log,true,true,true,true
deletion_schedule,true,true,true,true
digital_assets,true,true,true,true
document_download_log,true,true,true,true
domicile_analysis,true,true,true,true
domicile_checklist_items,true,true,true,true
domicile_schedule,true,true,true,true
education_progress,true,true,true,true
email_captures,true,true,true,true
estate_document_types,true,true,true,true
estate_documents,true,true,true,true
estate_flow_share_links,true,true,true,true
estate_flow_snapshots,true,true,true,true
estate_health_check,true,true,true,true
estate_health_scores,true,true,true,true
estate_recommendations,true,true,true,true
expense_types,true,true,true,true
expenses,true,true,true,true
federal_estate_tax_brackets,true,true,true,true
federal_estate_tax_parameters,true,true,true,true
federal_tax_brackets,true,true,true,true
federal_tax_config,true,true,true,true
feedback,true,true,true,true
firm_members,true,true,true,true
firms,true,true,true,true
funnel_events,true,true,true,true
gift_history,true,true,true,true
gift_types,true,true,true,true
gst_ledger,true,true,true,true
household_alerts,true,true,true,true
household_people,true,true,true,true
households,true,true,true,true
income,true,true,true,true
income_streams,true,true,true,true
income_types,true,true,true,true
ingestion_jobs,true,true,true,true
insurance_policies,true,true,true,true
insurance_policy_titling,true,true,true,true
irmaa_brackets,true,true,true,true
irs_rmd_tables,true,true,true,true
legal_documents,true,true,true,true
liabilities,true,true,true,true
liability_types,true,true,true,true
life_events,true,true,true,true
liquidity_analysis,true,true,true,true
milestone_completions,true,true,true,true
monte_carlo_results,true,true,true,true
monte_carlo_runs,true,true,true,true
notifications,true,true,true,true
privacy_requests,true,true,true,true
profiles,true,true,true,true
projection_assumption_audit,true,true,true,true
projection_scenarios,true,true,true,true
projections,true,true,true,true
qcd_limits,true,true,true,true
real_estate,true,true,true,true
real_estate_titling,true,true,true,true
ref_insurance_types,true,true,true,true
ref_liquidity_types,true,true,true,true
ref_pc_insurance_types,true,true,true,true
ref_property_types,true,true,true,true
ref_succession_plans,true,true,true,true
ref_titling_types,true,true,true,true
ref_valuation_methods,true,true,true,true
referral_clicks,true,true,true,true
rmd_uniform_lifetime,true,true,true,true
standard_deductions,true,true,true,true
state_estate_tax_rules,true,true,true,true
state_income_tax_brackets,true,true,true,true
state_income_tax_rates,true,true,true,true
state_inheritance_tax_rules,true,true,true,true
state_tax_rates,true,true,true,true
strategy_configs,true,true,true,true
strategy_line_items,true,true,true,true
subscription_tiers,true,true,true,true
superuser_action_log,true,true,true,true
tax_brackets_federal,true,true,true,true
titling_asset_categories,true,true,true,true
trust_types,true,true,true,true
trusts,true,true,true,true
